direction,Date,Price,size,structure,carry,managementFee
buy,"Jan 14, 2019",385,925000,unspecified,null,null
buy,"Jan 14, 2019",359,3000000,unspecified,null,null
buy,"Jan 14, 2019",315,3000000,unspecified,null,null
buy,"Jan 15, 2019",353,25000000,unspecified,null,null
buy,"Jan 21, 2019",445,7500000,unspecified,null,null
buy,"Mar 26, 2019",445,7500000,unspecified,null,null
sell,"May 6, 2019",515,2500000,direct,null,null
sell,"May 6, 2019",465,1282500,direct,null,null
sell,"May 6, 2019",385,50000000,spv,null,null
buy,"May 22, 2019",375,10000000,unspecified,null,null
buy,"Jun 12, 2019",445,5000000,unspecified,null,null
sell,"Jul 11, 2019",443,8560000,spv,10%,0
sell,"Jul 14, 2019",443,10000000,spv,0,0
buy,"Aug 6, 2019",375,20000000,unspecified,null,null
sell,"Aug 7, 2019",415,20000000,spv,0,0
buy,"Sep 17, 2019",415,20000000,unspecified,null,null
sell,"Oct 1, 2019",443,5000000,spv,0,0
sell,"Oct 8, 2019",455,1000000,spv,0,0
buy,"Nov 13, 2019",431,10000000,unspecified,null,null
sell,"Nov 18, 2019",443,5000000,spv,0,0
sell,"Nov 20, 2019",455,150000000,spv,0,0
buy,"Nov 20, 2019",435,1050000,unspecified,null,null
sell,"Dec 5, 2019",405,19500000,spv,0,0
sell,"Dec 7, 2019",443,10000000,spv,0,0
sell,"Dec 7, 2019",415,20000000,spv,0,0
buy,"Dec 7, 2019",353,50000000,unspecified,null,null
sell,"Dec 10, 2019",439,20000000,direct,null,null
sell,"Jan 16, 2020",405,19500000,spv,0,0
sell,"Jan 19, 2020",477,104999895,spv,0,0
sell,"Jan 21, 2020",455,150000000,spv,0,0
sell,"Jan 21, 2020",439,20000000,direct,null,null
buy,"Feb 2, 2020",435,1050000,unspecified,null,null
buy,"Feb 14, 2020",431,10000000,unspecified,null,null
sell,"Feb 25, 2020",455,80000000,spv,0,0
buy,"Feb 25, 2020",455,2000000,unspecified,null,null
sell,"Feb 25, 2020",455,20000000,spv,0,0
sell,"Feb 25, 2020",395,4940000,spv,0,0
sell,"Mar 11, 2020",487.5,20000000,spv,0,0
buy,"Mar 11, 2020",455,2000000,unspecified,null,null
sell,"Mar 11, 2020",455,20000000,spv,0,0
sell,"Mar 11, 2020",395,4940000,spv,0,0
buy,"Mar 24, 2020",455,15000000,unspecified,null,null
sell,"Apr 1, 2020",477,214883592,spv,0,0
sell,"Apr 1, 2020",465,20000000,spv,10%,0
sell,"Apr 1, 2020",465,5000000,spv,0,0
buy,"Apr 1, 2020",455,2000000,unspecified,null,null
sell,"Apr 4, 2020",449,30000000,spv,0,0
sell,"Apr 7, 2020",455.38,10000000,direct,null,null
buy,"Apr 12, 2020",455,2000000,unspecified,null,null
buy,"Apr 17, 2020",455,15000000,unspecified,null,null
sell,"Apr 21, 2020",451,5000000,spv,0,0
sell,"Apr 27, 2020",455,10000000,spv,0,0
sell,"Apr 27, 2020",443,8560000,spv,10%,0
sell,"Apr 30, 2020",455.38,10000000,direct,null,null
sell,"May 10, 2020",473,100000000,direct,null,null
sell,"May 10, 2020",465,5000000,spv,0,0
sell,"May 11, 2020",515,1250000,direct,null,null
sell,"May 11, 2020",465,5000000,spv,0,0
sell,"May 11, 2020",455,50000000,spv,10%,1%
buy,"May 11, 2020",455,2000000,unspecified,null,null
buy,"May 11, 2020",451,5265572,unspecified,null,null
buy,"May 11, 2020",415,20000000,unspecified,null,null
buy,"May 11, 2020",375,20000000,unspecified,null,null
buy,"May 11, 2020",375,10000000,unspecified,null,null
sell,"May 31, 2020",477,104999895,spv,0,0
sell,"May 31, 2020",455,1000000,spv,0,0
sell,"May 31, 2020",455,80000000,spv,0,0
buy,"Jun 1, 2020",null,1000000,unspecified,null,null
sell,"Jun 4, 2020",545,30000000,spv,0,0
sell,"Jun 4, 2020",487.5,20000000,spv,0,0
sell,"Jun 4, 2020",465,20000000,spv,10%,0
buy,"Jun 7, 2020",473,5000000,unspecified,null,null
buy,"Jun 7, 2020",455,5000000,unspecified,null,null
buy,"Jun 7, 2020",449,5000000,unspecified,null,null
buy,"Jun 10, 2020",475,4000000,unspecified,null,null
buy,"Jun 12, 2020",495,100000000,unspecified,null,null
sell,"Jun 15, 2020",495,3600000,spv,0,0
sell,"Jun 17, 2020",505,1225000,spv,0,0
buy,"Jun 17, 2020",485,110000000,unspecified,null,null
sell,"Jun 17, 2020",451,5000000,spv,0,0
sell,"Jun 17, 2020",449,30000000,spv,0,0
sell,"Jun 18, 2020",455,10000000,spv,0,0
buy,"Jun 19, 2020",485,2800000,unspecified,null,null
buy,"Jun 19, 2020",465,20000000,unspecified,null,null
buy,"Jun 21, 2020",495,100000,unspecified,null,null
buy,"Jun 21, 2020",485,1000000,unspecified,null,null
sell,"Jun 22, 2020",485,5000000,spv,0,0
sell,"Jun 23, 2020",477,214883592,spv,0,0
buy,"Jun 23, 2020",475,5208111.6,unspecified,null,null
buy,"Jun 28, 2020",515,5000000,unspecified,null,null
buy,"Jun 28, 2020",495,2000000,unspecified,null,null
buy,"Jun 28, 2020",495,5000000,unspecified,null,null
sell,"Jun 28, 2020",473,100000000,direct,null,null
buy,"Jun 28, 2020",467,100000000,unspecified,null,null
buy,"Jun 29, 2020",465,100000000,unspecified,null,null
sell,"Jul 5, 2020",495,15000000,direct,null,null
buy,"Jul 6, 2020",495,3000000,unspecified,null,null
sell,"Jul 14, 2020",465,5000000,spv,0,0
buy,"Jul 17, 2020",455,5000000,unspecified,null,null
buy,"Jul 19, 2020",null,1315550.15,unspecified,null,null
sell,"Jul 19, 2020",569,100000000,spv,0,0
buy,"Jul 19, 2020",451,5265572,unspecified,null,null
sell,"Jul 21, 2020",555,82000000,spv,15%,1%
sell,"Jul 25, 2020",555,100000000,spv,0,0
sell,"Jul 28, 2020",555,10000000,spv,0,0
sell,"Jul 30, 2020",569,100000000,spv,0,0
sell,"Jul 30, 2020",555,82000000,spv,15%,1%
sell,"Jul 30, 2020",555,100000000,spv,0,0
buy,"Jul 30, 2020",525,10000000,unspecified,null,null
sell,"Jul 30, 2020",485,5000000,spv,0,0
buy,"Aug 6, 2020",null,150000000,unspecified,null,null
sell,"Aug 6, 2020",555,702000,forward,null,null
sell,"Aug 15, 2020",555,10000000,spv,0,0
sell,"Aug 15, 2020",505,1225000,spv,0,0
buy,"Aug 15, 2020",455,2000000,unspecified,null,null
sell,"Aug 16, 2020",555,100000000,spv,20%,0
buy,"Aug 16, 2020",475,5208111.6,unspecified,null,null
buy,"Aug 19, 2020",589,25000000,unspecified,null,null
sell,"Aug 25, 2020",595,200000000,spv,10%,1%
sell,"Aug 27, 2020",599,5500000,spv,15%,1.75%
buy,"Aug 30, 2020",615,20000000,unspecified,null,null
buy,"Aug 30, 2020",525,10000000,unspecified,null,null
buy,"Aug 30, 2020",515,5000000,unspecified,null,null
buy,"Aug 30, 2020",495,2000000,unspecified,null,null
buy,"Aug 30, 2020",495,5000000,unspecified,null,null
buy,"Aug 30, 2020",467,100000000,unspecified,null,null
sell,"Aug 31, 2020",615,864000,spv,0,0
buy,"Aug 31, 2020",615,100000000,unspecified,null,null
buy,"Sep 1, 2020",585,25000000,unspecified,null,null
sell,"Sep 1, 2020",555,100000000,spv,20%,0
sell,"Sep 2, 2020",571,200000000,spv,15%,0
sell,"Sep 6, 2020",569,20000000,spv,15%,1.25%
sell,"Sep 6, 2020",495,3600000,spv,0,0
buy,"Sep 7, 2020",605,17000000,unspecified,null,null
sell,"Sep 8, 2020",585,150000000,spv,10%,1%
sell,"Sep 10, 2020",585,20000000,spv,13%,1%
sell,"Sep 10, 2020",569,20000000,spv,15%,1.25%
sell,"Sep 10, 2020",545,30000000,spv,0,0
buy,"Sep 10, 2020",495,100000000,unspecified,null,null
buy,"Sep 12, 2020",625,20000000,unspecified,null,null
buy,"Sep 12, 2020",615,2500000,unspecified,null,null
buy,"Sep 12, 2020",605,200000,unspecified,null,null
buy,"Sep 12, 2020",605,1000000,unspecified,null,null
buy,"Sep 12, 2020",605,10000000,unspecified,null,null
buy,"Sep 12, 2020",595,50000000,unspecified,null,null
buy,"Sep 12, 2020",583,30000000,unspecified,null,null
buy,"Sep 12, 2020",565,1000000,unspecified,null,null
buy,"Sep 12, 2020",495,100000,unspecified,null,null
buy,"Sep 12, 2020",495,3000000,unspecified,null,null
buy,"Sep 12, 2020",485,1000000,unspecified,null,null
buy,"Sep 12, 2020",485,2800000,unspecified,null,null
buy,"Sep 12, 2020",485,110000000,unspecified,null,null
buy,"Sep 12, 2020",475,4000000,unspecified,null,null
buy,"Sep 12, 2020",473,5000000,unspecified,null,null
buy,"Sep 12, 2020",465,100000000,unspecified,null,null
buy,"Sep 12, 2020",465,20000000,unspecified,null,null
buy,"Sep 12, 2020",449,5000000,unspecified,null,null
sell,"Sep 13, 2020",665,30000000,spv,0,0
sell,"Sep 13, 2020",635,18000000,spv,10%,0
buy,"Sep 13, 2020",624,40000000,unspecified,null,null
buy,"Sep 13, 2020",618.2,1249978,unspecified,null,null
buy,"Sep 13, 2020",615,1050000,unspecified,null,null
buy,"Sep 13, 2020",589.1,1315550.15,unspecified,null,null
